! READ TERR 1 2
! Flux density at 10 keV
! batSNR5flux
! from http://www.swift.ac.uk/scripts/viewData.php?file=http://www.swift.ac.uk/user_objects/tprods/tmp_jsplot_s5uxjp.qdp
204.320999999043	20.7199999999996	-20.7199999999996	0.000242034200983772	5.37912698971469e-05	-5.37912698971469e-05
245.760999999017	20.7199999999996	-20.7199999999996	0.000165491049157628	4.68072073650385e-05	-4.68072073650385e-05
310.388065636129	20.7199999999996	-20.7199999999996	0.000107711810809417	3.45128586696348e-05	-3.45128586696348e-05
! NO NO NO NO NO NO
! xrtwtflux
1502.913	22.014	-22.14	2.70126905637216e-05	1.2791763125105e-06	-1.2791763125105e-06
1542.691	14.926	-17.764	2.68428429284334e-05	1.56297087719375e-06	-1.56297087719375e-06
1573.619	17.597	-16.003	1.48660761133654e-05	8.6633469537625e-07	-8.6633469537625e-07
1613.394	25.153	-22.177	1.99080132519388e-05	9.41663750136195e-07	-9.41663750136195e-07
1662.583	22.349	-24.037	1.86871529240195e-05	8.85414700785742e-07	-8.85414700785742e-07
1701.498	16.038	-16.566	1.8924030065098e-05	1.09536268027079e-06	-1.09536268027079e-06
1738.527	22.238	-20.991	1.5196306708719e-05	7.20829132802475e-07	-7.20829132802475e-07
1784.002	24.235	-23.237	1.88581184883679e-05	8.95030892286229e-07	-8.95030892286229e-07
1824.598	17.016	-16.361	4.38679336773031e-06	2.56079604228213e-07	-2.56079604228213e-07
1858.638	17.092	-17.025	1.39991071101899e-05	8.15117879551591e-07	-8.15117879551591e-07
1892.119	16.614	-16.389	2.5998610125775e-05	1.50740296733082e-06	-1.50740296733082e-06
1929.266	18.581	-20.533	2.00102379092656e-05	1.05541678095046e-06	-1.05541678095046e-06
1969.457	21.613	-21.611	2.45188552514562e-05	1.16501355008944e-06	-1.16501355008944e-06
2013.276	21.706	-22.206	2.72023977446451e-05	1.28814739664064e-06	-1.28814739664064e-06
2054.967	20.264	-19.985	2.6003112974265e-05	1.23553786382006e-06	-1.23553786382006e-06
2095.444	20.893	-20.212	1.88396338844975e-05	8.92135271840357e-07	-8.92135271840357e-07
2137.752	21.050	-21.416	2.12846046404687e-05	1.01133795962483e-06	-1.01133795962483e-06
2178.893	18.900	-20.091	2.73522001043869e-05	1.29670519040813e-06	-1.29670519040813e-06
2217.744	20.810	-19.951	2.14726945983003e-05	1.0202756212634e-06	-1.0202756212634e-06
2258.638	19.676	-20.084	2.3883050395333e-05	1.13224005949347e-06	-1.13224005949347e-06
2294.853	15.382	-16.539	2.54270656319585e-05	1.21022264175459e-06	-1.21022264175459e-06
2325.385	15.285	-15.15	3.19867818205865e-05	1.51985278167163e-06	-1.51985278167163e-06
2354.338	14.218	-13.667	4.49023416422247e-05	2.13716299707649e-06	-2.13716299707649e-06
2381.632	13.223	-13.076	3.64855281217862e-05	1.72774158165376e-06	-1.72774158165376e-06
2407.560	12.484	-12.705	6.24671222184734e-05	2.95975042159384e-06	-2.95975042159384e-06
2432.305	12.406	-12.261	5.76909864120466e-05	2.73190962099917e-06	-2.73190962099917e-06
2457.633	14.162	-12.921	2.93739452177528e-05	1.39019470961412e-06	-1.39019470961412e-06
2485.304	11.849	-13.509	6.83261711187449e-05	3.25757804398456e-06	-3.25757804398456e-06
2508.156	10.346	-11.003	8.00697251577459e-05	3.79806642617297e-06	-3.79806642617297e-06
2529.477	9.942	-10.975	8.9957888725158e-05	4.25748383422864e-06	-4.25748383422864e-06
2548.817	9.377	-9.398	6.75983964353107e-05	3.21558355485072e-06	-3.21558355485072e-06
2567.536	8.059	-9.342	0.000101432560508671	4.80325448713495e-06	-4.80325448713495e-06
2585.006	9.759	-9.411	0.00010325369875261	4.89502358533787e-06	-4.89502358533787e-06
2603.154	7.703	-8.389	8.03830040276569e-05	3.7978963557743e-06	-3.7978963557743e-06
2618.726	7.457	-7.868	8.56475128093882e-05	4.04662956281966e-06	-4.04662956281966e-06
2632.941	6.630	-6.758	0.000154791486983436	7.32176006299145e-06	-7.32176006299145e-06
2645.244	5.017	-5.673	0.000168204400688899	7.95620477313851e-06	-7.95620477313851e-06
2654.966	4.663	-4.705	0.000188501230420637	8.92135881771981e-06	-8.92135881771981e-06
2664.449	4.933	-4.82	0.000285939364248855	1.35710596935103e-05	-1.35710596935103e-05
2674.138	4.789	-4.756	0.000293743772632919	1.39335968760898e-05	-1.39335968760898e-05
2683.630	5.048	-4.703	0.000150859779977178	7.14384436520984e-06	-7.14384436520984e-06
2723.499	3347.664	-34.821	0.000166094506883571	5.59253407455593e-06	-5.59253407455593e-06
40871.605	101.927	-4969.162	1.20791895197844e-05	1.48503623487701e-06	-1.48503623487701e-06
41004.884	29.327	-31.352	2.08152864183022e-05	3.02314448338302e-06	-3.02314448338302e-06
41073.185	39.374	-38.974	2.43050741193004e-05	2.79637242729163e-06	-2.79637242729163e-06
48183.380	11.514	-10.937	4.95689012228189e-05	2.34586083292022e-06	-2.34586083292022e-06
48206.031	10.285	-11.137	3.66021177564095e-05	1.73383179107237e-06	-1.73383179107237e-06
48227.725	11.479	-11.409	7.03764556402414e-05	3.33783469431843e-06	-3.33783469431843e-06
48249.876	10.381	-10.671	5.68403961701672e-05	2.69807661928877e-06	-2.69807661928877e-06
48269.531	9.037	-9.274	8.02602763842989e-05	3.79700075136408e-06	-3.79700075136408e-06
48286.077	7.165	-7.51	8.14360107343843e-05	3.84813224632712e-06	-3.84813224632712e-06
48301.027	7.764	-7.785	0.00010047832853688	4.76075432024777e-06	-4.76075432024777e-06
